timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-06-16T13:42:36,Tianjin_Industrial_RF_50_trees,ddbd9b98-0e86-4ef2-9b8d-bd977eade6bd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.152330230999951,6.41409744333529e-06,1.5446982986684729e-06,3.6628448384,7.51412639620057,10.0,3.7051444735170897e-06,8.649451364000109e-06,1.0111300694444164e-05,2.2465896531961363e-05,0.0,United States,USA,south carolina,,,Linux-6.6.122+-x86_64-with-glibc2.35,3.12.13,3.2.8,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-79.9746,32.8608,12.671409606933594,machine,0.0,0.0,12.7,1.2998313903808594,N,1.0,0.0
2026-06-16T13:42:51,Tianjin_Industrial_RF_300_trees,fdc662b8-fc1c-4164-9334-1736625cfecf,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,14.956533270000023,2.5688178209330677e-05,1.7175222189259796e-06,3.0570511240571427,9.050905628736457,10.0,1.2267445520316475e-05,3.758280784400001e-05,4.012467433888895e-05,8.997492770320544e-05,0.0,United States,USA,south carolina,,,Linux-6.6.122+-x86_64-with-glibc2.35,3.12.13,3.2.8,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-79.9746,32.8608,12.671409606933594,machine,7.6923076923076925,0.0,12.792307692307693,1.3104154146634615,N,1.0,0.0
